weather,fold,test_start,model,MAE_MW
noisy,1,2019-01-01,ridge,1984.2175298030652
noisy,1,2019-01-01,gbm,1305.226768655711
noisy,1,2019-01-01,mlp,1115.57670571613
noisy,2,2019-07-01,ridge,1844.0527586786175
noisy,2,2019-07-01,gbm,967.6624426828669
noisy,2,2019-07-01,mlp,1054.4616998707559
noisy,3,2020-01-01,ridge,1889.300710562391
noisy,3,2020-01-01,gbm,1295.635999006566
noisy,3,2020-01-01,mlp,1499.4506360037403
noisy,4,2020-07-01,ridge,1390.788587308049
noisy,4,2020-07-01,gbm,859.0344557789573
noisy,4,2020-07-01,mlp,885.1468628077761
